biomarker_id,analyte_name,specimen,measurement_property,canonical_unit,category,panel_seed,is_derived,aliases,loinc_code,loinc_component,default_reference_range_notes
11579-0,Thyrotropin [Units/volume] in Serum or Plasma by Detection limit <= 0.05 mIU/L,Serum/Plasma,Arbitrary concentration,mIU/L,Chemistry,Thyroid Profile,False,"[""TSH DL <= 0.05 mIU/L Qn"", ""TSH SerPl DL<=0.05 mIU/L-aCnc""]",11579-0,Thyrotropin,
11580-8,Thyrotropin [Units/volume] in Serum or Plasma by Detection limit <= 0.005 mIU/L,Serum/Plasma,Arbitrary concentration,mIU/L,Chemistry,Thyroid Profile,False,"[""TSH DL <= 0.005 mIU/L Qn"", ""TSH SerPl DL<=0.005 mIU/L-aCnc""]",11580-8,Thyrotropin,
12180-6,Calcium.ionized [Moles/volume] in Serum or Plasma by Ion-selective membrane electrode (ISE),Serum/Plasma,Substance concentration,mmol/L,Chemistry,Electrolytes,False,"[""Ca-I SerPl ISE-sCnc"", ""Calcium.ionized ISE [Moles/Vol]""]",12180-6,Calcium.ionized,
13457-7,Cholesterol in LDL [Mass/volume] in Serum or Plasma by calculation,Serum/Plasma,Mass concentration,mg/dL,Chemistry,Lipid Profile,True,"[""Cholesterol in LDL Calc [Mass/Vol]"", ""LDL"", ""LDL Calculated"", ""LDL Cholesterol"", ""LDL-C"", ""LDL-Cholesterol"", ""LDLc SerPl Calc-mCnc"", ""Low Density Lipoprotein""]",13457-7,Cholesterol.in LDL,
13458-5,Cholesterol in VLDL [Mass/volume] in Serum or Plasma by calculation,Serum/Plasma,Mass concentration,mg/dL,Chemistry,Lipid Profile,True,"[""Cholesterol in VLDL Calc [Mass/Vol]"", ""V.L.D.L"", ""VLDL"", ""VLDL Calculated"", ""VLDL Cholesterol"", ""VLDL-C"", ""VLDLc SerPl Calc-mCnc""]",13458-5,Cholesterol.in VLDL,
13536-8,Globulin [Mass/volume] in Plasma,Plasma,Mass concentration,g/dL,Chemistry,Other,False,"[""Globulin (P) [Mass/Vol]"", ""Globulin Plas-mCnc""]",13536-8,Globulin,
13965-9,Homocysteine [Moles/volume] in Serum or Plasma,Serum/Plasma,Substance concentration,µmol/L,Chemistry,Other,False,"[""Hcys SerPl-sCnc"", ""Homocysteine"", ""Homocysteine [Moles/Vol]"", ""Serum Homocysteine""]",13965-9,Homocysteine,
13969-1,Creatine kinase.MB [Mass/volume] in Serum or Plasma,Serum/Plasma,Mass concentration,ng/mL,Chemistry,Cardiac Markers,False,"[""CK MB SerPl-mCnc"", ""CK.MB [Mass/Vol]""]",13969-1,Creatine kinase.MB,
14627-4,Bicarbonate [Moles/volume] in Venous blood,Venous Blood,Substance concentration,mmol/L,Chemistry,Electrolytes,False,"[""HCO3 (BldV) [Moles/Vol]"", ""HCO3 BldV-sCnc""]",14627-4,Bicarbonate,
14775-1,Hemoglobin [Mass/volume] in Arterial blood by Oximetry,Arterial Blood,Mass concentration,g/L,Hematology,Complete Blood Count,False,"[""Hemoglobin Oximetry (BldA) [Mass/Vol]"", ""Hgb BldA Oximetry-mCnc""]",14775-1,Hemoglobin,
